Feature,Importance
0,0.735753
1,0.28526387
2,0.07779107
3,0.21461132
4,0.18978755
6,0.19776262
7,0.0
8,0.23062097
9,0.027673548
10,0.34804285
11,0.12817311
12,0.18999021
13,0.0
14,0.41097152
15,0.41003302
16,0.75780076
17,0.03635227
18,0.009307947
19,0.36196554
20,1.2667423
21,0.61386627
22,0.24449266
23,0.516841
24,0.66197395
25,0.009789141
26,0.2039255
28,0.040713903
29,0.0
30,0.020883333
31,0.48464853
32,0.43836004
33,1.95679
34,0.06520297
35,0.0
36,0.0
37,0.77420676
39,1.7694407
40,0.05440573
41,0.66279864
42,0.0
43,0.25690582
44,0.057383824
45,1.5132357
46,0.085502245
47,0.33305788
48,0.18147661
51,0.6266485
52,0.0
53,0.16293076
59,3.548678
60,0.0
61,0.58247393
62,1.5256492
63,0.49043536
64,0.0886068
65,0.50971735
67,0.44501787
68,0.27556568
71,0.37840447
72,6.3432746
74,0.0
75,0.42631215
76,0.13811347
77,0.16396916
78,0.33230102
79,0.33786047
80,2.2213798
81,0.14603241
82,0.55516315
83,0.0454685
84,0.038681895
85,0.0
86,0.030161198
87,0.18651013
88,0.06432859
89,0.22281964
90,0.16238159
91,0.73934066
92,0.03519902
93,0.019835148
94,0.24760573
95,3.726602
97,0.0
98,0.041774247
99,0.82787377
100,0.72238374
101,0.5847787
102,1.1958518
103,0.7554921
107,0.25174752
108,0.11936729
109,0.770236
112,1.1208298
113,0.67780286
114,0.0
115,0.68981653
116,0.069905594
117,0.403065
118,0.3129371
119,0.32899725
120,0.5197036
121,1.0449935
122,0.1103593
125,0.22678627
126,0.13219443
128,0.5818717
129,0.39351723
130,2.595781
132,0.69158
134,0.0938896
135,0.054899585
136,0.4719546
137,0.71174693
138,0.14379308
139,0.8448785
141,0.0
142,0.18850163
143,0.09738727
144,1.7645502
145,0.13430531
146,0.8011681
147,0.027107878
149,0.0
150,0.67360926
151,0.3289633
153,0.69566566
154,0.27629614
155,0.46695477
156,0.41334066
157,0.0
158,0.0
159,0.032540843
160,0.4139185
161,0.3982356
162,0.97250426
163,0.2987693
164,0.0
166,0.4327155
167,0.29505688
168,0.6553712
169,0.27311486
170,0.009728704
171,0.14986871
172,0.04659318
173,1.6441272
175,0.64839935
176,0.11307492
177,0.99334645
178,0.0
179,0.0
180,0.46417174
181,0.19835283
182,0.76748705
183,0.5071457
184,0.5586912
185,0.787089
186,0.0
187,0.014933647
188,0.213341
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.5009456
196,0.0583325
197,0.42064404
198,1.5911248
199,0.728255
200,0.16928335
201,0.17937978
202,1.0026724
203,0.71391517
204,0.9425099
205,0.852729
207,0.40164608
208,0.3346169
210,0.5929304
211,0.32942504
212,0.7716453
213,0.4081685
214,0.02124561
215,0.15755925
216,0.7951306
217,0.26396355
218,0.0
219,0.4437286
221,0.08948908
222,0.0880407
223,0.7624332
224,0.6521896
225,0.0
226,0.0
227,1.5555923
228,0.11769268
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.012616379
239,0.60338944
240,0.0
241,0.0
242,0.0
243,0.0
244,0.10911828
245,0.04214523
247,3.2459273
248,0.064336725
250,0.24677002
251,0.34341553
253,1.4969002
254,0.031573936
255,1.5521245
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.34229723
268,0.10785288
269,0.34601134
270,0.06035052
273,0.12920323
276,0.0
278,0.43143067
284,0.0
